1.503413650576387983e+00 9.284404037636446727e-01 8.945507474886997892e-03 2.415881634392932042e+01 5.336655425611441794e-02
2.030943900891582832e+00 9.160141230389282629e-01 5.973951292469193743e-03 4.164243437826652183e+01 7.313767284419644965e-02
1.987569878034461945e+00 1.415240548323164038e+00 1.245807221612016923e-02 5.077019313934079747e+01 5.746768058967542669e-02
1.955564965208185013e+00 1.177169717076989031e+00 6.211855754877804864e-03 3.837010224250897750e+01 5.939411765556019268e-02
1.759198446496758939e+00 9.281204125053748033e-01 1.366475013597275023e-02 2.690803470009742071e+01 3.090838611314524961e-02
1.484276333607249088e+00 1.359274292756414093e+00 1.053643234468418927e-02 2.897055238390898069e+01 5.060180133154092152e-02
2.233670633469754918e+00 1.471410030684362935e+00 7.234369598018126381e-03 4.503927412282274645e+01 4.944725579290092793e-02
1.428606357151593009e+00 1.284082698127845923e+00 5.487285412220275875e-03 2.502951667593674046e+01 6.580299801179220753e-02
1.584404832519058948e+00 8.556282031551527556e-01 9.081547942913952357e-03 6.071660491096420742e+01 5.253721868733868261e-02
1.665511563840718967e+00 9.918394314032961123e-01 1.087517920642364078e-02 6.028050641753254979e+01 6.229219733409058213e-02
2.863589409554171183e+00 1.255389709316222957e+00 9.960166120218969660e-03 4.864401255890496856e+01 4.319811920452439752e-02
1.751726018697963960e+00 7.077653921308078022e-01 1.390278611744116995e-02 3.635453490440129087e+01 4.749813266132540263e-02
2.956181977270652794e+00 1.409804606773247926e+00 8.162740827335819571e-03 2.443993926915113946e+01 3.470715423114849318e-02
2.435090502072207119e+00 6.055404255184548834e-01 6.568917239827600993e-03 4.187841586449842879e+01 4.237612680630597345e-02
1.957878853552863951e+00 8.141434762931620828e-01 1.289155259415152022e-02 3.695558858164488214e+01 7.266515645287842384e-02
2.347069351811263971e+00 1.295275078070716956e+00 1.305103955164261045e-02 5.319801662523916264e+01 7.119560484205830764e-02
2.977868171483100124e+00 7.380003962361583181e-01 1.181578481753605032e-02 4.591778150180928719e+01 2.838251865791295916e-02
1.211212042887044982e+00 1.162750757877589969e+00 5.254635305644778272e-03 4.386573977981593231e+01 6.357201644899249104e-02
2.542479033201658023e+00 1.303406483834113949e+00 1.276650562875238960e-02 5.231025166838629303e+01 5.405996193693712870e-02
2.394205387347823066e+00 1.326073735163660006e+00 5.038185814540415731e-03 5.327908967775326232e+01 5.113299445171933660e-02
1.885266955853629023e+00 1.017194753583229971e+00 1.382588074193171965e-02 4.651621053757539670e+01 6.533320059802233404e-02
2.883468133061314997e+00 1.086663859564193979e+00 1.330611379849487921e-02 4.312252124958016708e+01 5.612675050146326283e-02
1.509732001415629021e+00 1.334926239405543003e+00 8.215682958443671843e-03 5.341583352503992899e+01 3.492528115890401741e-02
2.985522573154109072e+00 1.140576246213206968e+00 1.487028913843001926e-02 4.348804081660990306e+01 3.720394306993987654e-02
2.094219818530469013e+00 6.976409341577631817e-01 8.027094891125428899e-03 3.762438189075532335e+01 3.574678891507986761e-02
1.676030525936796911e+00 1.182830230453445042e+00 1.082861360829484067e-02 4.499831815153140724e+01 6.963355778720006772e-02
2.377984094231210932e+00 6.153534096555797195e-01 7.797892225468087621e-03 5.281864108583945949e+01 6.879017884080546041e-02
2.109609557816904069e+00 5.991357952810989485e-01 1.266824058275787049e-02 2.580520478813417995e+01 4.874580644050464928e-02
1.179216787286996082e+00 1.489484251680829097e+00 5.345857097012548034e-03 3.109410949285870984e+01 3.655826359889188804e-02
1.526554227822237930e+00 9.657461057571377072e-01 8.506556021246497803e-03 3.923205611852233687e+01 6.415778840766031554e-02
2.978281446432617940e+00 5.162012026714137836e-01 9.159955297607814267e-03 3.823273846039524670e+01 6.711554413538543817e-02
2.992454213984878209e+00 9.945634351238659132e-01 1.348381767099647056e-02 4.153867216501370763e+01 5.982094324188032969e-02
